economy(mpg),cylinders,displacement(cc),power(hp),cylinders
24,4,90,75,4
29,4,68,49,4
28,4,107,86,4
37.3,4,91,69,4
31,4,79,67,4
25,4,140,92,4
13,8,400,170,8
15.5,8,351,142,8
12,8,400,167,8
29.9,4,98,65,4
34.4,4,98,65,4
13,8,302,130,8
10,8,360,215,8
20.2,6,200,85,6
25.1,4,140,88,4
22.3,4,140,88,4
24,4,140,92,4
26.4,4,140,88,4
36.1,4,98,66,4
18.1,8,302,139,8
14,8,351,153,8
14,8,351,153,8
15,8,429,198,8
13,8,302,140,8
14,8,302,140,8
14,8,302,137,8
14.5,8,351,152,8
16,8,302,140,8
18,6,250,78,6
20.2,6,200,88,6
22,6,232,112,6
18.5,6,250,98,6
17.6,8,302,129,8
13,8,351,158,8
14,8,351,148,8
15,6,250,72,6
18,6,250,88,6
21,6,200,-1,6
21,6,200,85,6
24,6,200,81,6
-1,8,302,140,8
23.6,4,140,-1,4
27,4,140,86,4
25.5,4,140,89,4
13,8,302,129,8
18,6,250,88,6
22,4,122,86,4
21,4,122,86,4
18,6,171,97,6
19,4,122,85,4
23,4,140,83,4
25,4,98,-1,4
26,4,122,80,4
26.5,4,140,72,4
28,4,120,79,4
16,8,351,149,8
-1,8,351,153,8
19,6,250,88,6
17,8,302,140,8
9,8,304,193,8
31.5,4,98,68,4
29.5,4,98,68,4
32.4,4,107,72,4
36,4,107,75,4
32,4,91,67,4
35.1,4,81,60,4
44.6,4,91,67,4
33,4,91,53,4
36.1,4,91,60,4
24,4,120,97,4
33,4,91,53,4
38,4,91,67,4
33.7,4,107,75,4
34.1,4,86,65,4
18,3,70,90,3
31.3,4,120,75,4
31.6,4,120,74,4
34.1,4,91,68,4
37,4,91,68,4
31,4,91,68,4
32.8,4,78,52,4
46.6,4,86,65,4
19,3,70,97,3
21.5,3,80,110,3
23.7,3,70,100,3
30,4,146,67,4
16.5,6,168,120,6
25.4,5,183,77,5
23,4,122,86,4
21,6,155,107,6
15,8,302,130,8
16.5,8,351,138,8
36,4,98,70,4
12,8,429,198,8
11,8,429,208,8
20.2,8,302,139,8
15,6,250,72,6
19.8,6,200,85,6
20.8,6,200,85,6
36,4,120,88,4
38,6,262,85,6
26.6,8,350,105,8
19.9,8,260,110,8
23.9,8,260,90,8
17,8,260,110,8
12,8,350,160,8
26.8,6,173,115,6
11,8,350,180,8
23.8,4,151,85,4
12,8,350,180,8
25,4,116,81,4
28,4,116,90,4
24,4,116,75,4
26,4,97,78,4
30,4,79,70,4
21,4,120,87,4
19,4,120,88,4
23,4,120,88,4
25,4,110,87,4
27.2,4,141,71,4
28.1,4,141,80,4
16.2,6,163,133,6
25.5,4,122,96,4
14,8,340,160,8
39,4,86,64,4
26,4,91,70,4
13,8,360,170,8
20,6,198,95,6
22,6,198,95,6
23,6,198,95,6
14,8,318,150,8
14,8,318,150,8
14,8,440,215,8
15,8,318,150,8
18,6,225,95,6
16,8,318,150,8
34.7,4,105,63,4
38,4,105,63,4
34.5,4,105,70,4
34.2,4,105,70,4
27.2,4,135,84,4
30,4,135,84,4
23.2,4,156,105,4
-1,8,383,175,8
14,8,318,150,8
16,6,225,105,6
18,6,225,105,6
18,8,318,150,8
19,6,225,95,6
18,6,225,105,6
22,6,225,100,6
19,6,225,100,6
13,8,318,150,8
20.5,6,225,100,6
23,4,140,78,4
14,8,400,175,8
14,8,400,175,8
14,8,455,225,8
16,8,400,170,8
19,6,250,100,6
16,8,400,180,8
16,8,400,230,8
31,4,112,85,4
21.5,6,231,115,6
19.2,6,231,105,6
27,4,151,90,4
33.5,4,151,90,4
13,8,400,175,8
24.5,4,151,88,4
18.5,6,250,110,6
26,4,96,69,4
27,4,101,83,4
34.5,4,100,-1,4
36,4,79,58,4
40.9,4,85,-1,4
-1,4,121,110,4
25,4,104,95,4
21.6,4,121,115,4
24,4,121,110,4
25,4,121,115,4
30,4,97,67,4
33.8,4,97,67,4
26,4,108,93,4
32.3,4,97,67,4
20,4,97,88,4
21.1,4,134,95,4
32,4,144,96,4
31,4,71,65,4
32,4,71,65,4
27,4,97,88,4
26,4,97,75,4
38.1,4,89,60,4
28,4,97,75,4
29,4,97,75,4
32.2,4,108,75,4
32.4,4,108,75,4
34,4,108,70,4
24,4,113,95,4
29.8,4,134,90,4
24,4,113,95,4
24,4,134,96,4
25,4,113,95,4
27.5,4,134,95,4
31,4,76,52,4
25.4,6,168,116,6
19,6,156,108,6
20,6,156,122,6
39.1,4,79,58,4
37.7,4,89,62,4
23,4,120,97,4
35,4,122,88,4
29.8,4,89,62,4
26,4,97,46,4
22,4,121,76,4
43.4,4,90,48,4
25,4,90,71,4
26,4,79,67,4
30.5,4,97,78,4
33,4,105,74,4
27,4,97,60,4
44,4,97,52,4
44.3,4,90,48,4
43.1,4,90,48,4
29,4,97,78,4
31.9,4,89,71,4
36,4,105,74,4
29,4,90,70,4
29,4,90,70,4
29.5,4,97,71,4
41.5,4,98,76,4
31.5,4,89,71,4
-1,4,97,48,4
26,4,97,46,4
23,4,97,54,4
19,4,121,112,4
18,4,121,112,4
22,4,121,98,4
20,4,130,102,4
17,6,163,125,6
30.7,6,145,76,6
