,key,Metric,score
135,20180616,25m,0.011716462
136,20180617,25m,0.022994379
137,20180618,25m,0.012711864
138,20180619,25m,0.011397849
139,20180620,25m,0.010890152
140,20180621,25m,0.009192066
141,20180622,25m,0.007682458
142,20180623,25m,0.026200873
143,20180624,25m,0.027084818
144,20180625,25m,0.005784681
145,20180626,25m,0.007554104
146,20180627,25m,0.01213472
147,20180628,25m,0.010239607
148,20180629,25m,0.010565781
149,20180630,25m,0.002290951
150,20180601,30m,0.00557711
151,20180602,30m,0.021419572
152,20180603,30m,0.010810811
153,20180604,30m,0.012257906
154,20180605,30m,0.01068323
155,20180606,30m,0.010063819
156,20180607,30m,0.009821204
157,20180608,30m,0.010842158
158,20180609,30m,0.012790995
159,20180610,30m,0.00921659
160,20180611,30m,0.016614746
161,20180612,30m,0.009135297
162,20180613,30m,0.010970593
163,20180614,30m,0.007283582
164,20180615,30m,0.003933566
165,20180616,30m,0.01142355
166,20180617,30m,0.015329586
167,20180618,30m,0.011198547
168,20180619,30m,0.007096774
169,20180620,30m,0.006155303
170,20180621,30m,0.007014998
171,20180622,30m,0.006914213
172,20180623,30m,0.023705552
173,20180624,30m,0.016393443
174,20180625,30m,0.006963042
175,20180626,30m,0.008166599
176,20180627,30m,0.005943536
177,20180628,30m,0.007372517
178,20180629,30m,0.007839127
179,20180630,30m,0.002004582
180,20180601,40m,0.01600388
181,20180602,40m,0.027719446
182,20180603,40m,0.027027027
183,20180604,40m,0.022554548
184,20180605,40m,0.021863354
185,20180606,40m,0.016691213
186,20180607,40m,0.021908839
187,20180608,40m,0.015380736
188,20180609,40m,0.024558711
189,20180610,40m,0.013824885
190,20180611,40m,0.020768432
191,20180612,40m,0.017955584
192,20180613,40m,0.019198537
193,20180614,40m,0.016358209
194,20180615,40m,0.008085664
195,20180616,40m,0.01903925
196,20180617,40m,0.019417476
197,20180618,40m,0.012409201
198,20180619,40m,0.01483871
199,20180620,40m,0.019412879
200,20180621,40m,0.02467344
201,20180622,40m,0.0184379
202,20180623,40m,0.041172801
203,20180624,40m,0.039914469
204,20180625,40m,0.009962507
205,20180626,40m,0.014291548
206,20180627,40m,0.014611194
207,20180628,40m,0.013311489
208,20180629,40m,0.022154056
209,20180630,40m,0.005441008
210,20180601,50m,0.008971872
211,20180602,50m,0.034859303
212,20180603,50m,0.02
213,20180604,50m,0.021573915
214,20180605,50m,0.017888199
215,20180606,50m,0.014973
216,20180607,50m,0.016116847
217,20180608,50m,0.012607161
218,20180609,50m,0.016372474
219,20180610,50m,0.00712191
220,20180611,50m,0.019522326
221,20180612,50m,0.015435502
222,20180613,50m,0.016608258
223,20180614,50m,0.013970149
224,20180615,50m,0.009396853
225,20180616,50m,0.01903925
226,20180617,50m,0.020439448
227,20180618,50m,0.011501211
228,20180619,50m,0.011612903
229,20180620,50m,0.012547348
230,20180621,50m,0.013788099
231,20180622,50m,0.015364917
232,20180623,50m,0.048034934
233,20180624,50m,0.021382751
234,20180625,50m,0.008141403
235,20180626,50m,0.016333197
236,20180627,50m,0.016097078
237,20180628,50m,0.015154618
238,20180629,50m,0.014314928
239,20180630,50m,0.012600229
240,20180601,1h,0.016488846
241,20180602,1h,0.016379672
242,20180603,1h,0.00972973
243,20180604,1h,0.025741603
244,20180605,1h,0.017391304
245,20180606,1h,0.022091311
246,20180607,1h,0.020901536
247,20180608,1h,0.016893596
248,20180609,1h,0.009209517
249,20180610,1h,0.003351487
250,20180611,1h,0.025545171
251,20180612,1h,0.017955584
252,20180613,1h,0.018893799
253,20180614,1h,0.014089552
254,20180615,1h,0.013986014
255,20180616,1h,0.018453427
256,20180617,1h,0.009708738
257,20180618,1h,0.019673123
258,20180619,1h,0.045806452
259,20180620,1h,0.0390625
260,20180621,1h,0.023705854
261,20180622,1h,0.054033291
262,20180623,1h,0.032439177
263,20180624,1h,0.016393443
264,20180625,1h,0.008141403
265,20180626,1h,0.026541445
266,20180627,1h,0.030460624
267,20180628,1h,0.033176326
268,20180629,1h,0.022154056
269,20180630,1h,0.020045819
270,20180601,1h 10m,0.02085354
271,20180602,1h 10m,0.011339773
272,20180603,1h 10m,0.004324324
273,20180604,1h 10m,0.029418975
274,20180605,1h 10m,0.032546584
275,20180606,1h 10m,0.032400589
276,20180607,1h 10m,0.026189877
277,20180608,1h 10m,0.020171457
278,20180609,1h 10m,0.007930417
279,20180610,1h 10m,0.005027231
280,20180611,1h 10m,0.02305296
281,20180612,1h 10m,0.019845645
282,20180613,1h 10m,0.026817004
283,20180614,1h 10m,0.014089552
284,20180615,1h 10m,0.042613636
285,20180616,1h 10m,0.02665495
286,20180617,1h 10m,0.008175779
287,20180618,1h 10m,0.018765133
288,20180619,1h 10m,0.05483871
289,20180620,1h 10m,0.086647727
290,20180621,1h 10m,0.047411708
291,20180622,1h 10m,0.072983355
292,20180623,1h 10m,0.012476606
293,20180624,1h 10m,0.012116892
294,20180625,1h 10m,0.008784146
295,20180626,1h 10m,0.048387097
296,20180627,1h 10m,0.049034175
297,20180628,1h 10m,0.049150113
298,20180629,1h 10m,0.036468984
299,20180630,1h 10m,0.026632302
300,20180601,1h 20m,0.018186227
301,20180602,1h 20m,0.007139857
302,20180603,1h 20m,0.003783784
303,20180604,1h 20m,0.022799706
304,20180605,1h 20m,0.030807453
305,20180606,1h 20m,0.023318606
306,20180607,1h 20m,0.031478217
307,20180608,1h 20m,0.019162885
308,20180609,1h 20m,0.005116398
309,20180610,1h 20m,0.004189359
310,20180611,1h 20m,0.025337487
311,20180612,1h 20m,0.024098283
312,20180613,1h 20m,0.018741429
313,20180614,1h 20m,0.017074627
314,20180615,1h 20m,0.025568182
315,20180616,1h 20m,0.028119508
316,20180617,1h 20m,0.005109862
317,20180618,1h 20m,0.022397094
318,20180619,1h 20m,0.066021505
319,20180620,1h 20m,0.04782197
320,20180621,1h 20m,0.04039671
321,20180622,1h 20m,0.065300896
322,20180623,1h 20m,0.011228946
323,20180624,1h 20m,0.017106201
324,20180625,1h 20m,0.011355115
325,20180626,1h 20m,0.042670478
326,20180627,1h 20m,0.051015354
327,20180628,1h 20m,0.031742781
328,20180629,1h 20m,0.034083163
329,20180630,1h 20m,0.028350515
330,20180601,1h 30m,0.02085354
331,20180602,1h 30m,0.00797984
332,20180603,1h 30m,0.007027027
333,20180604,1h 30m,0.024025496
334,20180605,1h 30m,0.030310559
335,20180606,1h 30m,0.022091311
336,20180607,1h 30m,0.027449005
337,20180608,1h 30m,0.018658598
338,20180609,1h 30m,0.004604758
339,20180610,1h 30m,0.005027231
340,20180611,1h 30m,0.026998962
341,20180612,1h 30m,0.026618365
342,20180613,1h 30m,0.024074356
343,20180614,1h 30m,0.014089552
344,20180615,1h 30m,0.034090909
345,20180616,1h 30m,0.027533685
346,20180617,1h 30m,0.009197752
347,20180618,1h 30m,0.016646489
348,20180619,1h 30m,0.074408602
349,20180620,1h 30m,0.036695076
350,20180621,1h 30m,0.039429124
351,20180622,1h 30m,0.092189501
352,20180623,1h 30m,0.008733624
353,20180624,1h 30m,0.015680684
354,20180625,1h 30m,0.009212641
355,20180626,1h 30m,0.053082891
356,20180627,1h 30m,0.052501238
357,20180628,1h 30m,0.03542904
358,20180629,1h 30m,0.033060668
359,20180630,1h 30m,0.043528064
360,20180601,1h 45m,0.029582929
361,20180602,1h 45m,0.027719446
362,20180603,1h 45m,0.023783784
363,20180604,1h 45m,0.038980142
364,20180605,1h 45m,0.045962733
365,20180606,1h 45m,0.037309769
366,20180607,1h 45m,0.041551247
367,20180608,1h 45m,0.024962179
368,20180609,1h 45m,0.013302635
369,20180610,1h 45m,0.024717218
370,20180611,1h 45m,0.034267913
371,20180612,1h 45m,0.036541188
372,20180613,1h 45m,0.040377876
373,20180614,1h 45m,0.025432836
374,20180615,1h 45m,0.0625
375,20180616,1h 45m,0.078207381
376,20180617,1h 45m,0.024527338
377,20180618,1h 45m,0.041464891
378,20180619,1h 45m,0.098924731
379,20180620,1h 45m,0.065104167
380,20180621,1h 45m,0.066279632
381,20180622,1h 45m,0.088604353
382,20180623,1h 45m,0.01871491
383,20180624,1h 45m,0.029223093
384,20180625,1h 45m,0.014247456
385,20180626,1h 45m,0.09085341
386,20180627,1h 45m,0.071570084
387,20180628,1h 45m,0.060823264
388,20180629,1h 45m,0.04192229
389,20180630,1h 45m,0.144329897
390,20180601,2h,0.030795344
391,20180602,2h,0.040319194
392,20180603,2h,0.044864865
393,20180604,2h,0.050502574
394,20180605,2h,0.041242236
395,20180606,2h,0.040500736
396,20180607,2h,0.04432133
397,20180608,2h,0.026727181
398,20180609,2h,0.023279611
399,20180610,2h,0.049853372
400,20180611,2h,0.039044652
401,20180612,2h,0.035911167
402,20180613,2h,0.036416273
403,20180614,2h,0.028059701
404,20180615,2h,0.065122378
405,20180616,2h,0.078500293
406,20180617,2h,0.033725089
407,20180618,2h,0.056598063
408,20180619,2h,0.082580645
409,20180620,2h,0.084043561
410,20180621,2h,0.045718433
411,20180622,2h,0.061203585
412,20180623,2h,0.03992514
413,20180624,2h,0.042765502
414,20180625,2h,0.020246385
415,20180626,2h,0.05920784
416,20180627,2h,0.050272412
417,20180628,2h,0.034609871
418,20180629,2h,0.037491479
419,20180630,2h,0.099369989
420,20180601,2h 15m,0.054316198
421,20180602,2h 15m,0.060898782
422,20180603,2h 15m,0.075675676
423,20180604,2h 15m,0.063741113
424,20180605,2h 15m,0.046708075
425,20180606,2h 15m,0.053019146
426,20180607,2h 15m,0.052883405
427,20180608,2h 15m,0.03605648
428,20180609,2h 15m,0.042721924
429,20180610,2h 15m,0.059069962
430,20180611,2h 15m,0.045482866
431,20180612,2h 15m,0.037328713
432,20180613,2h 15m,0.037482858
433,20180614,2h 15m,0.032119403
434,20180615,2h 15m,0.077578671
435,20180616,2h 15m,0.078793204
436,20180617,2h 15m,0.045988758
437,20180618,2h 15m,0.04842615
438,20180619,2h 15m,0.024731183
439,20180620,2h 15m,0.038589015
440,20180621,2h 15m,0.031446541
441,20180622,2h 15m,0.028169014
442,20180623,2h 15m,0.067997505
443,20180624,2h 15m,0.070563079
444,20180625,2h 15m,0.016604178
445,20180626,2h 15m,0.02715394
446,20180627,2h 15m,0.045319465
447,20180628,2h 15m,0.029285275
448,20180629,2h 15m,0.035105658
449,20180630,2h 15m,0.129725086
450,20180601,2h 30m,0.041949564
451,20180602,2h 30m,0.049139017
452,20180603,2h 30m,0.085405405
453,20180604,2h 30m,0.063741113
454,20180605,2h 30m,0.051677019
455,20180606,2h 30m,0.049337261
456,20180607,2h 30m,0.040040292
457,20180608,2h 30m,0.024962179
458,20180609,2h 30m,0.041954464
459,20180610,2h 30m,0.078341014
460,20180611,2h 30m,0.052959502
461,20180612,2h 30m,0.042211372
462,20180613,2h 30m,0.029864391
463,20180614,2h 30m,0.028179104
464,20180615,2h 30m,0.041520979
465,20180616,2h 30m,0.056239016
466,20180617,2h 30m,0.059785386
467,20180618,2h 30m,0.057506053
468,20180619,2h 30m,0.019354839
469,20180620,2h 30m,0.019412879
470,20180621,2h 30m,0.01983551
471,20180622,2h 30m,0.014340589
472,20180623,2h 30m,0.037429819
473,20180624,2h 30m,0.054882395
474,20180625,2h 30m,0.013818961
475,20180626,2h 30m,0.021845651
476,20180627,2h 30m,0.037642397
477,20180628,2h 30m,0.020274421
478,20180629,2h 30m,0.035446489
479,20180630,2h 30m,0.127434135
480,20180601,2h 45m,0.032492726
481,20180602,2h 45m,0.04451911
482,20180603,2h 45m,0.037297297
483,20180604,2h 45m,0.038980142
484,20180605,2h 45m,0.034285714
485,20180606,2h 45m,0.054737359
486,20180607,2h 45m,0.043314027
487,20180608,2h 45m,0.024710035
488,20180609,2h 45m,0.036582246
489,20180610,2h 45m,0.03477168
490,20180611,2h 45m,0.039044652
491,20180612,2h 45m,0.038746259
492,20180613,2h 45m,0.037482858
493,20180614,2h 45m,0.028776119
494,20180615,2h 45m,0.039117133
495,20180616,2h 45m,0.048037493
496,20180617,2h 45m,0.034236076
497,20180618,2h 45m,0.036622276
498,20180619,2h 45m,0.016344086
499,20180620,2h 45m,0.018229167
500,20180621,2h 45m,0.017900339
501,20180622,2h 45m,0.014084507
502,20180623,2h 45m,0.01933874
503,20180624,2h 45m,0.038488952
504,20180625,2h 45m,0.011033744
505,20180626,2h 45m,0.017149857
506,20180627,2h 45m,0.026498266
507,20180628,2h 45m,0.021707966
508,20180629,2h 45m,0.016019087
509,20180630,2h 45m,0.02720504
510,20180601,3h,0.026188167
511,20180602,3h,0.030239395
512,20180603,3h,0.022702703
513,20180604,3h,0.039715617
514,20180605,3h,0.033291925
515,20180606,3h,0.036573392
516,20180607,3h,0.033996474
517,20180608,3h,0.024205749
518,20180609,3h,0.028396009
519,20180610,3h,0.025136154
520,20180611,3h,0.028660436
521,20180612,3h,0.03969129
522,20180613,3h,0.026207527
523,20180614,3h,0.030567164
524,20180615,3h,0.026660839
525,20180616,3h,0.0609256
526,20180617,3h,0.017884517
527,20180618,3h,0.026029056
528,20180619,3h,0.009677419
529,20180620,3h,0.00875947
530,20180621,3h,0.013062409
531,20180622,3h,0.011267606
532,20180623,3h,0.011228946
533,20180624,3h,0.012829651
534,20180625,3h,0.010819497
535,20180626,3h,0.013066558
536,20180627,3h,0.018078257
537,20180628,3h,0.016588163
538,20180629,3h,0.008179959
539,20180630,3h,0.015750286
540,20180601,3h 30m,0.032492726
541,20180602,3h 30m,0.050398992
542,20180603,3h 30m,0.04972973
543,20180604,3h 30m,0.053444472
544,20180605,3h 30m,0.047453416
545,20180606,3h 30m,0.045655376
546,20180607,3h 30m,0.038781163
547,20180608,3h 30m,0.036308623
548,20180609,3h 30m,0.074443592
549,20180610,3h 30m,0.056137411
550,20180611,3h 30m,0.052544133
551,20180612,3h 30m,0.061426996
552,20180613,3h 30m,0.05576718
553,20180614,3h 30m,0.052179104
554,20180615,3h 30m,0.027753497
555,20180616,3h 30m,0.095489162
556,20180617,3h 30m,0.036791007
557,20180618,3h 30m,0.041767554
558,20180619,3h 30m,0.014408602
559,20180620,3h 30m,0.016098485
560,20180621,3h 30m,0.023463957
561,20180622,3h 30m,0.020486556
562,20180623,3h 30m,0.006238303
563,20180624,3h 30m,0.012829651
564,20180625,3h 30m,0.012319229
565,20180626,3h 30m,0.021437321
566,20180627,3h 30m,0.033432392
567,20180628,3h 30m,0.038296129
568,20180629,3h 30m,0.024199046
569,20180630,3h 30m,0.017754868
570,20180601,4h,0.030310378
571,20180602,4h,0.036539269
572,20180603,4h,0.034594595
573,20180604,4h,0.033831822
574,20180605,4h,0.038757764
575,20180606,4h,0.044182622
576,20180607,4h,0.02895996
577,20180608,4h,0.030257186
578,20180609,4h,0.061652597
579,20180610,4h,0.029325513
580,20180611,4h,0.040083074
581,20180612,4h,0.048826587
582,20180613,4h,0.031388085
583,20180614,4h,0.055880597
584,20180615,4h,0.024256993
585,20180616,4h,0.025483304
586,20180617,4h,0.023505365
587,20180618,4h,0.037530266
588,20180619,4h,0.015483871
589,20180620,4h,0.018465909
590,20180621,4h,0.017900339
591,20180622,4h,0.015364917
592,20180623,4h,0.003119152
593,20180624,4h,0.003563792
594,20180625,4h,0.020246385
595,20180626,4h,0.020824826
596,20180627,4h,0.027488856
597,20180628,4h,0.018636084
598,20180629,4h,0.019768234
599,20180630,4h,0.008591065
600,20180601,4h 30m,0.017701261
601,20180602,4h 30m,0.020579588
602,20180603,4h 30m,0.017837838
603,20180604,4h 30m,0.031135082
604,20180605,4h 30m,0.025590062
605,20180606,4h 30m,0.028964163
606,20180607,4h 30m,0.026441702
607,20180608,4h 30m,0.040090772
608,20180609,4h 30m,0.063187516
609,20180610,4h 30m,0.015081693
610,20180611,4h 30m,0.04132918
611,20180612,4h 30m,0.04583399
612,20180613,4h 30m,0.015236934
613,20180614,4h 30m,0.049432836
614,20180615,4h 30m,0.015297203
615,20180616,4h 30m,0.006444054
616,20180617,4h 30m,0.009708738
617,20180618,4h 30m,0.028753027
618,20180619,4h 30m,0.01655914
619,20180620,4h 30m,0.009943182
620,20180621,4h 30m,0.010885341
621,20180622,4h 30m,0.013572343
622,20180623,4h 30m,0.006862133
623,20180624,4h 30m,0.007127584
624,20180625,4h 30m,0.021424746
625,20180626,4h 30m,0.016945692
626,20180627,4h 30m,0.022535909
627,20180628,4h 30m,0.013925865
628,20180629,4h 30m,0.015337423
629,20180630,4h 30m,0.00486827
630,20180601,5h,0.016731329
631,20180602,5h,0.011339773
632,20180603,5h,0.007567568
633,20180604,5h,0.019122334
634,20180605,5h,0.015900621
635,20180606,5h,0.020864016
636,20180607,5h,0.015613196
637,20180608,5h,0.029500756
638,20180609,5h,0.061140957
639,20180610,5h,0.015919564
640,20180611,5h,0.033437175
641,20180612,5h,0.029295952
642,20180613,5h,0.015846412
643,20180614,5h,0.038686567
644,20180615,5h,0.00895979
645,20180616,5h,0.005272408
646,20180617,5h,0.003576903
647,20180618,5h,0.02027845
648,20180619,5h,0.012258065
649,20180620,5h,0.011600379
650,20180621,5h,0.010159652
651,20180622,5h,0.005633803
652,20180623,5h,0.001871491
653,20180624,5h,0.00427655
654,20180625,5h,0.01006963
655,20180626,5h,0.015720702
656,20180627,5h,0.019316493
657,20180628,5h,0.013311489
658,20180629,5h,0.011929107
659,20180630,5h,0.003150057
660,20180601,5h 30m,0.013579049
661,20180602,5h 30m,0.01301974
662,20180603,5h 30m,0.007027027
663,20180604,5h 30m,0.012012748
664,20180605,5h 30m,0.009937888
665,20180606,5h 30m,0.013254786
666,20180607,5h 30m,0.012591287
667,20180608,5h 30m,0.025718608
668,20180609,5h 30m,0.049629061
669,20180610,5h 30m,0.014243821
670,20180611,5h 30m,0.022429907
671,20180612,5h 30m,0.022365727
672,20180613,5h 30m,0.014170349
673,20180614,5h 30m,0.03080597
674,20180615,5h 30m,0.007211538
675,20180616,5h 30m,0.004979496
676,20180617,5h 30m,0.004598876
677,20180618,5h 30m,0.019673123
678,20180619,5h 30m,0.007526882
679,20180620,5h 30m,0.009469697
680,20180621,5h 30m,0.008466376
681,20180622,5h 30m,0.004865557
682,20180623,5h 30m,0.001871491
683,20180624,5h 30m,0.000712758
684,20180625,5h 30m,0.007820032
685,20180626,5h 30m,0.014495713
686,20180627,5h 30m,0.015601783
687,20180628,5h 30m,0.007986893
688,20180629,5h 30m,0.009202454
689,20180630,5h 30m,0.01002291
690,20180601,6h,0.009941804
691,20180602,6h,0.008819824
692,20180603,6h,0.005405405
693,20180604,6h,0.015199804
694,20180605,6h,0.014161491
695,20180606,6h,0.010554737
696,20180607,6h,0.008562075
697,20180608,6h,0.020675744
698,20180609,6h,0.033256587
699,20180610,6h,0.00921659
700,20180611,6h,0.01827622
701,20180612,6h,0.016223027
702,20180613,6h,0.013256133
703,20180614,6h,0.021373134
704,20180615,6h,0.00895979
705,20180616,6h,0.002636204
706,20180617,6h,0.000510986
707,20180618,6h,0.017251816
708,20180619,6h,0.009247312
709,20180620,6h,0.011126894
710,20180621,6h,0.006531205
711,20180622,6h,0.005889885
712,20180623,6h,0.002495321
713,20180624,6h,0.001425517
714,20180625,6h,0.00717729
715,20180626,6h,0.012045733
716,20180627,6h,0.011391778
717,20180628,6h,0.00962523
718,20180629,6h,0.008520791
719,20180630,6h,0.012027491
720,20180601,7h,0.016973812
721,20180602,7h,0.013859723
722,20180603,7h,0.006486486
723,20180604,7h,0.020593283
724,20180605,7h,0.020124224
725,20180606,7h,0.02233677
726,20180607,7h,0.013094938
727,20180608,7h,0.037065053
728,20180609,7h,0.040931184
729,20180610,7h,0.013405949
730,20180611,7h,0.04132918
731,20180612,7h,0.025043314
732,20180613,7h,0.021026969
733,20180614,7h,0.027223881
734,20180615,7h,0.011145105
735,20180616,7h,0.003514938
736,20180617,7h,0.007153807
737,20180618,7h,0.014527845
738,20180619,7h,0.010322581
739,20180620,7h,0.009706439
740,20180621,7h,0.010885341
741,20180622,7h,0.004609475
742,20180623,7h,0.002495321
743,20180624,7h,0.001425517
744,20180625,7h,0.010391002
745,20180626,7h,0.022253981
746,20180627,7h,0.015354136
747,20180628,7h,0.00860127
748,20180629,7h,0.008179959
749,20180630,7h,0.020332188
750,20180601,8h,0.0128516
751,20180602,8h,0.017639647
752,20180603,8h,0.004324324
753,20180604,8h,0.010051483
754,20180605,8h,0.010434783
755,20180606,8h,0.010309278
756,20180607,8h,0.010828507
757,20180608,8h,0.041603631
758,20180609,8h,0.018419033
759,20180610,8h,0.010054462
760,20180611,8h,0.017237799
761,20180612,8h,0.010395338
762,20180613,8h,0.015541673
763,20180614,8h,0.015522388
764,20180615,8h,0.007867133
765,20180616,8h,0.003222027
766,20180617,8h,0.005620848
767,20180618,8h,0.00877724
768,20180619,8h,0.008602151
769,20180620,8h,0.009943182
770,20180621,8h,0.005563619
771,20180622,8h,0.006914213
772,20180623,8h,0.004366812
773,20180624,8h,0.002138275
774,20180625,8h,0.011355115
775,20180626,8h,0.027358105
776,20180627,8h,0.007429421
777,20180628,8h,0.004710219
778,20180629,8h,0.005794138
779,20180630,8h,0.008591065
780,20180601,9h,0.016488846
781,20180602,9h,0.013439731
782,20180603,9h,0.008648649
783,20180604,9h,0.011277274
784,20180605,9h,0.007950311
785,20180606,9h,0.009327442
786,20180607,9h,0.009317552
787,20180608,9h,0.024710035
788,20180609,9h,0.008442057
789,20180610,9h,0.006284039
790,20180611,9h,0.015991693
791,20180612,9h,0.005985195
792,20180613,9h,0.016608258
793,20180614,9h,0.010746269
794,20180615,9h,0.003933566
795,20180616,9h,0.002636204
796,20180617,9h,0.002554931
797,20180618,9h,0.005447942
798,20180619,9h,0.004301075
799,20180620,9h,0.006155303
800,20180621,9h,0.004354136
801,20180622,9h,0.003072983
802,20180623,9h,0.003742982
803,20180624,9h,0.000712758
804,20180625,9h,0.013390466
805,20180626,9h,0.024499796
806,20180627,9h,0.005200594
807,20180628,9h,0.003891051
808,20180629,9h,0.003749148
809,20180630,9h,0.006586483
810,20180601,10h,0.009456838
811,20180602,10h,0.013859723
812,20180603,10h,0.011351351
813,20180604,10h,0.006128953
814,20180605,10h,0.007950311
815,20180606,10h,0.010554737
816,20180607,10h,0.009569378
817,20180608,10h,0.022440746
818,20180609,10h,0.006139678
819,20180610,10h,0.005027231
820,20180611,10h,0.009968847
821,20180612,10h,0.006300205
822,20180613,10h,0.00929453
823,20180614,10h,0.00919403
824,20180615,10h,0.003496503
825,20180616,10h,0.002636204
826,20180617,10h,0.00408789
827,20180618,10h,0.004539952
828,20180619,10h,0.004301075
829,20180620,10h,0.006392045
830,20180621,10h,0.002418965
831,20180622,10h,0.007682458
832,20180623,10h,0.001247661
833,20180624,10h,0.001425517
834,20180625,10h,0.01178361
835,20180626,10h,0.021233156
836,20180627,10h,0.005200594
837,20180628,10h,0.005119803
838,20180629,10h,0.007839127
839,20180630,10h,0.005154639
840,20180601,11h,0.007274491
841,20180602,11h,0.014279714
842,20180603,11h,0.008648649
843,20180604,11h,0.006864428
844,20180605,11h,0.008198758
845,20180606,11h,0.008100147
846,20180607,11h,0.005036515
847,20180608,11h,0.010842158
848,20180609,11h,0.007674597
849,20180610,11h,0.006702974
850,20180611,11h,0.010384216
851,20180612,11h,0.004095133
852,20180613,11h,0.006551882
853,20180614,11h,0.006447761
854,20180615,11h,0.018138112
855,20180616,11h,0.001171646
856,20180617,11h,0.039856924
857,20180618,11h,0.003934625
858,20180619,11h,0.002580645
859,20180620,11h,0.006155303
860,20180621,11h,0.00822448
861,20180622,11h,0.00921895
862,20180623,11h,0.005614473
863,20180624,11h,0.000712758
864,20180625,11h,0.009212641
865,20180626,11h,0.019395672
866,20180627,11h,0.004952947
867,20180628,11h,0.076387467
868,20180629,11h,0.004430811
869,20180630,11h,0.006013746
870,20180601,12h,0.007759457
871,20180602,12h,0.010079798
