date,year,precipitation
11/12/12,2012,3.6
11/13/12,2012,5.3
11/14/12,2012,0.8
11/15/12,2012,0
11/16/12,2012,5.6
11/17/12,2012,6.1
11/18/12,2012,7.9
11/19/12,2012,54.1
11/20/12,2012,3.8
11/21/12,2012,11.2
11/22/12,2012,0
11/23/12,2012,32
11/24/12,2012,0
11/25/12,2012,0
11/26/12,2012,0
11/27/12,2012,0
11/28/12,2012,2.8
11/29/12,2012,1.5
11/30/12,2012,35.6
12/1/12,2012,4.1
12/2/12,2012,19.6
12/3/12,2012,13
12/4/12,2012,14.2
12/5/12,2012,1.5
12/6/12,2012,1.5
12/7/12,2012,1
12/8/12,2012,0
12/9/12,2012,1.5
12/10/12,2012,0.5
12/11/12,2012,3
12/12/12,2012,8.1
12/13/12,2012,2.3
12/14/12,2012,7.9
12/15/12,2012,5.3
12/16/12,2012,22.6
12/17/12,2012,2
12/18/12,2012,3.3
12/19/12,2012,13.7
12/20/12,2012,13.2
12/21/12,2012,1.8
12/22/12,2012,3.3
12/23/12,2012,6.6
12/24/12,2012,0.3
12/25/12,2012,13.5
12/26/12,2012,4.6
12/27/12,2012,4.1
12/28/12,2012,0
12/29/12,2012,1.5
12/30/12,2012,0
12/31/12,2012,0
1/1/13,2013,0
1/2/13,2013,0
1/3/13,2013,4.1
1/4/13,2013,2.5
1/5/13,2013,3
1/6/13,2013,2
1/7/13,2013,2.3
1/8/13,2013,16.3
1/9/13,2013,38.4
1/10/13,2013,0.3
1/11/13,2013,0
1/12/13,2013,0
1/13/13,2013,0
1/14/13,2013,0
1/15/13,2013,0
1/16/13,2013,0
1/17/13,2013,0
1/18/13,2013,0
1/19/13,2013,0
1/20/13,2013,0
1/21/13,2013,0
1/22/13,2013,0
1/23/13,2013,5.1
1/24/13,2013,5.8
1/25/13,2013,3
1/26/13,2013,2.3
1/27/13,2013,1.8
1/28/13,2013,7.9
1/29/13,2013,4.3
1/30/13,2013,3.6
1/31/13,2013,3
2/1/13,2013,0.3
2/2/13,2013,0
2/3/13,2013,2.3
2/4/13,2013,0
2/5/13,2013,3.3
2/6/13,2013,1
2/7/13,2013,1.3
2/8/13,2013,0
2/9/13,2013,0.3
2/10/13,2013,0
2/11/13,2013,0.3
2/12/13,2013,1
2/13/13,2013,2.3
2/14/13,2013,1
2/15/13,2013,0
2/16/13,2013,0
2/17/13,2013,0
2/18/13,2013,0
2/19/13,2013,0
2/20/13,2013,1.5
2/21/13,2013,0.5
2/22/13,2013,9.4
2/23/13,2013,0.3
2/24/13,2013,0
2/25/13,2013,2.3
2/26/13,2013,0.5
2/27/13,2013,4.6
2/28/13,2013,8.1
3/1/13,2013,4.1
3/2/13,2013,0.8
3/3/13,2013,0
3/4/13,2013,0
3/5/13,2013,0
3/6/13,2013,11.9
3/7/13,2013,7.4
3/8/13,2013,0
3/9/13,2013,0
3/10/13,2013,0.8
3/11/13,2013,1.3
3/12/13,2013,2
3/13/13,2013,2.3
3/14/13,2013,2.8
3/15/13,2013,0
3/16/13,2013,4.3
3/17/13,2013,0
3/18/13,2013,0
3/19/13,2013,11.7
3/20/13,2013,9.9
3/21/13,2013,8.1
3/22/13,2013,0
3/23/13,2013,0
3/24/13,2013,0
3/25/13,2013,0
3/26/13,2013,0
3/27/13,2013,0.3
3/28/13,2013,2
3/29/13,2013,0
3/30/13,2013,0
3/31/13,2013,0
4/1/13,2013,0
4/2/13,2013,0
4/3/13,2013,0
4/4/13,2013,8.4
4/5/13,2013,18.5
4/6/13,2013,12.7
4/7/13,2013,39.1
4/8/13,2013,0.8
4/9/13,2013,0
4/10/13,2013,9.4
4/11/13,2013,1.5
4/12/13,2013,9.7
4/13/13,2013,9.4
4/14/13,2013,5.8
4/15/13,2013,0
4/16/13,2013,0.3
4/17/13,2013,0
4/18/13,2013,5.3
4/19/13,2013,20.6
4/20/13,2013,0
4/21/13,2013,3.3
4/22/13,2013,0
4/23/13,2013,0
4/24/13,2013,0
4/25/13,2013,0
4/26/13,2013,0
4/27/13,2013,0
4/28/13,2013,1
4/29/13,2013,3.8
4/30/13,2013,0
5/1/13,2013,0
5/2/13,2013,0
5/3/13,2013,0
5/4/13,2013,0
5/5/13,2013,0
5/6/13,2013,0
5/7/13,2013,0
5/8/13,2013,0
5/9/13,2013,0
5/10/13,2013,0
5/11/13,2013,0
5/12/13,2013,6.6
5/13/13,2013,3.3
5/14/13,2013,0
5/15/13,2013,1
5/16/13,2013,0
5/17/13,2013,0.5
5/18/13,2013,0
5/19/13,2013,0
5/20/13,2013,0
5/21/13,2013,13.7
5/22/13,2013,13.7
5/23/13,2013,4.1
5/24/13,2013,0.3
5/25/13,2013,0
5/26/13,2013,1.5
5/27/13,2013,9.7
5/28/13,2013,0.5
5/29/13,2013,5.6
5/30/13,2013,0
5/31/13,2013,0
6/1/13,2013,0
6/2/13,2013,1
6/3/13,2013,0
6/4/13,2013,0
6/5/13,2013,0
6/6/13,2013,0
6/7/13,2013,0
6/8/13,2013,0
6/9/13,2013,0
6/10/13,2013,0
6/11/13,2013,0
6/12/13,2013,0.3
6/13/13,2013,0
6/14/13,2013,0
6/15/13,2013,0
6/16/13,2013,0
6/17/13,2013,0
6/18/13,2013,0.3
6/19/13,2013,0
6/20/13,2013,3
6/21/13,2013,0.3
6/22/13,2013,0
6/23/13,2013,7.9
6/24/13,2013,4.8
6/25/13,2013,9.9
6/26/13,2013,2
6/27/13,2013,3.6
6/28/13,2013,0
6/29/13,2013,0
6/30/13,2013,0
7/1/13,2013,0
7/2/13,2013,0
7/3/13,2013,0
7/4/13,2013,0
7/5/13,2013,0
7/6/13,2013,0
7/7/13,2013,0
7/8/13,2013,0
7/9/13,2013,0
7/10/13,2013,0
7/11/13,2013,0
7/12/13,2013,0
7/13/13,2013,0
7/14/13,2013,0
7/15/13,2013,0
7/16/13,2013,0
7/17/13,2013,0
7/18/13,2013,0
7/19/13,2013,0
7/20/13,2013,0
7/21/13,2013,0
7/22/13,2013,0
7/23/13,2013,0
7/24/13,2013,0
7/25/13,2013,0
7/26/13,2013,0
7/27/13,2013,0
7/28/13,2013,0
7/29/13,2013,0
7/30/13,2013,0
7/31/13,2013,0
8/1/13,2013,0
8/2/13,2013,2
8/3/13,2013,0
8/4/13,2013,0
8/5/13,2013,0
8/6/13,2013,0
8/7/13,2013,0
8/8/13,2013,0
8/9/13,2013,0
8/10/13,2013,2.3
8/11/13,2013,0
8/12/13,2013,0
8/13/13,2013,0
8/14/13,2013,0.8
8/15/13,2013,1.8
8/16/13,2013,0
8/17/13,2013,0
8/18/13,2013,0
8/19/13,2013,0
8/20/13,2013,0
8/21/13,2013,0
8/22/13,2013,0
8/23/13,2013,0
8/24/13,2013,0
8/25/13,2013,0.3
8/26/13,2013,1
8/27/13,2013,1.3
8/28/13,2013,5.6
8/29/13,2013,19.3
8/30/13,2013,0
8/31/13,2013,0
9/1/13,2013,0
9/2/13,2013,0
9/3/13,2013,2.3
9/4/13,2013,0.3
9/5/13,2013,27.7
9/6/13,2013,21.3
9/7/13,2013,0
9/8/13,2013,0
9/9/13,2013,0
9/10/13,2013,0
9/11/13,2013,0
9/12/13,2013,0
9/13/13,2013,0
9/14/13,2013,0
9/15/13,2013,3.3
9/16/13,2013,0.3
9/17/13,2013,0
9/18/13,2013,0
9/19/13,2013,0
9/20/13,2013,3.6
9/21/13,2013,0
9/22/13,2013,13.5
9/23/13,2013,2.8
9/24/13,2013,0
9/25/13,2013,2
9/26/13,2013,0
9/27/13,2013,1
9/28/13,2013,43.4
9/29/13,2013,16.8
9/30/13,2013,18.5
10/1/13,2013,7.9
10/2/13,2013,5.3
10/3/13,2013,0.8
10/4/13,2013,0
10/5/13,2013,0
10/6/13,2013,4.1
10/7/13,2013,0.5
10/8/13,2013,6.9
10/9/13,2013,0
10/10/13,2013,1
10/11/13,2013,9.1
10/12/13,2013,1
10/13/13,2013,0
10/14/13,2013,0
10/15/13,2013,0
10/16/13,2013,0
10/17/13,2013,0
10/18/13,2013,0
10/19/13,2013,0
10/20/13,2013,0
10/21/13,2013,0
10/22/13,2013,0
10/23/13,2013,0
10/24/13,2013,0
10/25/13,2013,0
10/26/13,2013,0
10/27/13,2013,1.8
10/28/13,2013,0
10/29/13,2013,0
10/30/13,2013,0.5
10/31/13,2013,0.3
11/1/13,2013,1.3
11/2/13,2013,12.7
11/3/13,2013,0.5
11/4/13,2013,0
11/5/13,2013,2.5
11/6/13,2013,3.8
11/7/13,2013,30
11/8/13,2013,0
11/9/13,2013,1.8
11/10/13,2013,0
11/11/13,2013,0
11/12/13,2013,4.1
11/13/13,2013,0
11/14/13,2013,1.3
11/15/13,2013,3
11/16/13,2013,0
11/17/13,2013,5.3
11/18/13,2013,26.2
11/19/13,2013,1
11/20/13,2013,0
11/21/13,2013,0
11/22/13,2013,0
11/23/13,2013,0
11/24/13,2013,0
11/25/13,2013,0
11/26/13,2013,0
11/27/13,2013,0
11/28/13,2013,0
11/29/13,2013,0.5
11/30/13,2013,2.3
12/1/13,2013,3
12/2/13,2013,4.6
12/3/13,2013,0
12/4/13,2013,0
12/5/13,2013,0
12/6/13,2013,0
12/7/13,2013,0
12/8/13,2013,0
12/9/13,2013,0
12/10/13,2013,0
12/11/13,2013,0
12/12/13,2013,6.9
12/13/13,2013,0.5
12/14/13,2013,0
12/15/13,2013,1.3
12/16/13,2013,0.3
12/17/13,2013,0
12/18/13,2013,1.3
12/19/13,2013,0
12/20/13,2013,5.6
12/21/13,2013,5.6
12/22/13,2013,10.7
12/23/13,2013,1.5
12/24/13,2013,0
12/25/13,2013,0
12/26/13,2013,0
12/27/13,2013,0.3
12/28/13,2013,0
12/29/13,2013,0
12/30/13,2013,0.3
12/31/13,2013,0.5
1/1/14,2014,0
1/2/14,2014,4.1
1/3/14,2014,1.5
1/4/14,2014,0
1/5/14,2014,0
1/6/14,2014,0.3
1/7/14,2014,12.2
1/8/14,2014,9.7
1/9/14,2014,5.8
1/10/14,2014,4.3
1/11/14,2014,21.3
1/12/14,2014,1.5
1/13/14,2014,0
1/14/14,2014,0
1/15/14,2014,0
1/16/14,2014,0
1/17/14,2014,0
1/18/14,2014,0
1/19/14,2014,0
1/20/14,2014,0
1/21/14,2014,0
1/22/14,2014,0.5
1/23/14,2014,0
1/24/14,2014,0
1/25/14,2014,0
1/26/14,2014,0
1/27/14,2014,0
1/28/14,2014,8.9
1/29/14,2014,21.6
1/30/14,2014,0
1/31/14,2014,2.3
2/1/14,2014,2
2/2/14,2014,0
2/3/14,2014,0
2/4/14,2014,0
2/5/14,2014,0
2/6/14,2014,0
2/7/14,2014,0
2/8/14,2014,5.1
2/9/14,2014,0.5
2/10/14,2014,18.3
2/11/14,2014,17
2/12/14,2014,4.6
2/13/14,2014,1.8
2/14/14,2014,9.4
2/15/14,2014,11.7
2/16/14,2014,26.4
2/17/14,2014,14.5
2/18/14,2014,15.2
2/19/14,2014,1
2/20/14,2014,3
2/21/14,2014,2.8
2/22/14,2014,2.5
2/23/14,2014,6.1
2/24/14,2014,13
2/25/14,2014,0.3
2/26/14,2014,0
2/27/14,2014,0
2/28/14,2014,0
3/1/14,2014,0.5
3/2/14,2014,19.1
3/3/14,2014,10.7
3/4/14,2014,16.5
3/5/14,2014,46.7
3/6/14,2014,3
3/7/14,2014,0
3/8/14,2014,32.3
3/9/14,2014,4.3
3/10/14,2014,18.8
3/11/14,2014,0
3/12/14,2014,0
3/13/14,2014,0.5
3/14/14,2014,6.9
3/15/14,2014,8.1
3/16/14,2014,27.7
3/17/14,2014,0.3
3/18/14,2014,0
3/19/14,2014,0.5
3/20/14,2014,0
3/21/14,2014,0
3/22/14,2014,0
3/23/14,2014,0
3/24/14,2014,0
3/25/14,2014,4.1
3/26/14,2014,3.6
3/27/14,2014,0.3
3/28/14,2014,22.1
3/29/14,2014,14
3/30/14,2014,0
3/31/14,2014,0
4/1/14,2014,0
4/2/14,2014,0
4/3/14,2014,2.5
4/4/14,2014,0
4/5/14,2014,4.6
4/6/14,2014,0
4/7/14,2014,0
4/8/14,2014,4.6
4/9/14,2014,0
4/10/14,2014,0
4/11/14,2014,0
4/12/14,2014,0
4/13/14,2014,0
4/14/14,2014,0
4/15/14,2014,0.5
4/16/14,2014,10.9
4/17/14,2014,18.5
4/18/14,2014,0
4/19/14,2014,13.7
4/20/14,2014,0
4/21/14,2014,5.1
4/22/14,2014,14.2
4/23/14,2014,8.9
4/24/14,2014,12.4
4/25/14,2014,0
4/26/14,2014,3.3
4/27/14,2014,6.9
4/28/14,2014,0
4/29/14,2014,0
4/30/14,2014,0
5/1/14,2014,0
5/2/14,2014,0
5/3/14,2014,33.3
5/4/14,2014,16
5/5/14,2014,5.1
5/6/14,2014,0
5/7/14,2014,0
5/8/14,2014,13.7
5/9/14,2014,2
5/10/14,2014,0.5
5/11/14,2014,0
5/12/14,2014,0
5/13/14,2014,0
5/14/14,2014,0
5/15/14,2014,0
5/16/14,2014,0
5/17/14,2014,0
5/18/14,2014,0
5/19/14,2014,0
5/20/14,2014,0
5/21/14,2014,0
5/22/14,2014,0
5/23/14,2014,3.8
5/24/14,2014,0
5/25/14,2014,5.6
5/26/14,2014,0
5/27/14,2014,0
5/28/14,2014,0
5/29/14,2014,0
5/30/14,2014,0
5/31/14,2014,0
6/1/14,2014,0
6/2/14,2014,0
6/3/14,2014,0
6/4/14,2014,0
6/5/14,2014,0
6/6/14,2014,0
6/7/14,2014,0
6/8/14,2014,0
6/9/14,2014,0
6/10/14,2014,0
6/11/14,2014,0
6/12/14,2014,1.8
6/13/14,2014,6.4
6/14/14,2014,0
6/15/14,2014,0.5
6/16/14,2014,3.6
6/17/14,2014,1.3
6/18/14,2014,0
6/19/14,2014,0.8
6/20/14,2014,0.3
6/21/14,2014,0
6/22/14,2014,0
6/23/14,2014,0
6/24/14,2014,0
6/25/14,2014,0
6/26/14,2014,0
6/27/14,2014,1.8
6/28/14,2014,2.3
6/29/14,2014,0
6/30/14,2014,0
7/1/14,2014,0
7/2/14,2014,0
7/3/14,2014,0
7/4/14,2014,0
7/5/14,2014,0
7/6/14,2014,0
7/7/14,2014,0
7/8/14,2014,0
7/9/14,2014,0
7/10/14,2014,0
7/11/14,2014,0
7/12/14,2014,0
7/13/14,2014,0
7/14/14,2014,0
7/15/14,2014,0
7/16/14,2014,0
7/17/14,2014,0
7/18/14,2014,0
7/19/14,2014,0
7/20/14,2014,0
7/21/14,2014,0
7/22/14,2014,0.3
7/23/14,2014,19.3
7/24/14,2014,0
7/25/14,2014,0
7/26/14,2014,0
7/27/14,2014,0
7/28/14,2014,0
7/29/14,2014,0
7/30/14,2014,0
7/31/14,2014,0
8/1/14,2014,0
8/2/14,2014,0.5
8/3/14,2014,0
8/4/14,2014,0
8/5/14,2014,0
8/6/14,2014,0
8/7/14,2014,0
8/8/14,2014,0
8/9/14,2014,0
8/10/14,2014,0
8/11/14,2014,0.5
8/12/14,2014,12.7
8/13/14,2014,21.6
8/14/14,2014,0
8/15/14,2014,1
8/16/14,2014,0
8/17/14,2014,0
8/18/14,2014,0
8/19/14,2014,0
8/20/14,2014,0
8/21/14,2014,0
8/22/14,2014,0
8/23/14,2014,0
8/24/14,2014,0
8/25/14,2014,0
8/26/14,2014,0
8/27/14,2014,0
8/28/14,2014,0
8/29/14,2014,0
8/30/14,2014,8.4
8/31/14,2014,1.3
9/1/14,2014,0
9/2/14,2014,3
9/3/14,2014,0
9/4/14,2014,0
9/5/14,2014,0
9/6/14,2014,0
9/7/14,2014,0
9/8/14,2014,0
9/9/14,2014,0
9/10/14,2014,0
9/11/14,2014,0
9/12/14,2014,0
9/13/14,2014,0
9/14/14,2014,0
9/15/14,2014,0
9/16/14,2014,0
9/17/14,2014,0.5
9/18/14,2014,0.3
9/19/14,2014,0
9/20/14,2014,0
9/21/14,2014,0
9/22/14,2014,0.3
9/23/14,2014,18.3
9/24/14,2014,20.3
9/25/14,2014,4.3
9/26/14,2014,8.9
9/27/14,2014,0
9/28/14,2014,0
9/29/14,2014,0.8
9/30/14,2014,0
10/1/14,2014,0
10/2/14,2014,0
10/3/14,2014,0
10/4/14,2014,0
10/5/14,2014,0
10/6/14,2014,0
10/7/14,2014,0
10/8/14,2014,0
10/9/14,2014,0
10/10/14,2014,0.3
10/11/14,2014,7.4
10/12/14,2014,0
10/13/14,2014,7.6
10/14/14,2014,7.1
10/15/14,2014,8.6
10/16/14,2014,0
10/17/14,2014,3.3
10/18/14,2014,15
10/19/14,2014,0
10/20/14,2014,11.7
10/21/14,2014,1
10/22/14,2014,32
10/23/14,2014,9.4
10/24/14,2014,4.1
10/25/14,2014,6.1
10/26/14,2014,1.5
10/27/14,2014,0.8
10/28/14,2014,12.7
10/29/14,2014,0.5
10/30/14,2014,25.4
10/31/14,2014,17
11/1/14,2014,0
11/2/14,2014,1.8
11/3/14,2014,10.9
11/4/14,2014,4.1
11/5/14,2014,4.8
11/6/14,2014,4.1
11/7/14,2014,0
11/8/14,2014,0
11/9/14,2014,5.1
11/10/14,2014,0
11/11/14,2014,0
11/12/14,2014,0
11/13/14,2014,0
11/14/14,2014,0
11/15/14,2014,0
11/16/14,2014,0
11/17/14,2014,0
11/18/14,2014,0
11/19/14,2014,0
11/20/14,2014,3.6
11/21/14,2014,15.2
11/22/14,2014,0.5
11/23/14,2014,11.9
11/24/14,2014,1.3
11/25/14,2014,18.3
11/26/14,2014,0.3
11/27/14,2014,3.3
11/28/14,2014,34.3
11/29/14,2014,3.6
11/30/14,2014,0
12/1/14,2014,0
12/2/14,2014,0
12/3/14,2014,0
12/4/14,2014,0.8
12/5/14,2014,3
12/6/14,2014,7.4
12/7/14,2014,0
12/8/14,2014,9.1
12/9/14,2014,9.9
12/10/14,2014,13
12/11/14,2014,6.9
12/12/14,2014,0
12/13/14,2014,0
12/14/14,2014,0
12/15/14,2014,0
12/16/14,2014,0
12/17/14,2014,2.8
12/18/14,2014,13
12/19/14,2014,3
12/20/14,2014,19.6
12/21/14,2014,0
12/22/14,2014,0
12/23/14,2014,20.6
12/24/14,2014,5.3
12/25/14,2014,0
12/26/14,2014,0
12/27/14,2014,3.3
12/28/14,2014,4.1
12/29/14,2014,0
12/30/14,2014,0
12/31/14,2014,0
1/1/15,2015,0
1/2/15,2015,1.5
1/3/15,2015,0
1/4/15,2015,10.2
1/5/15,2015,8.1
1/6/15,2015,0
1/7/15,2015,0
1/8/15,2015,0
1/9/15,2015,0.3
1/10/15,2015,5.8
1/11/15,2015,1.5
1/12/15,2015,0
1/13/15,2015,0
1/14/15,2015,0
1/15/15,2015,9.7
1/16/15,2015,0
1/17/15,2015,26.2
1/18/15,2015,21.3
1/19/15,2015,0.5
1/20/15,2015,0
1/21/15,2015,0
1/22/15,2015,0.8
1/23/15,2015,5.8
1/24/15,2015,0.5
1/25/15,2015,0
1/26/15,2015,0
1/27/15,2015,0.8
1/28/15,2015,0
1/29/15,2015,0
1/30/15,2015,0
1/31/15,2015,0
2/1/15,2015,1.5
2/2/15,2015,7.4
2/3/15,2015,1.3
2/4/15,2015,8.4
2/5/15,2015,26.2
2/6/15,2015,17.3
2/7/15,2015,23.6
2/8/15,2015,3.6
2/9/15,2015,6.1
2/10/15,2015,0.3
2/11/15,2015,0
2/12/15,2015,1
2/13/15,2015,0
2/14/15,2015,0.3
2/15/15,2015,0
2/16/15,2015,0
2/17/15,2015,0
2/18/15,2015,0
2/19/15,2015,4.6
2/20/15,2015,0.8
2/21/15,2015,0
2/22/15,2015,0
2/23/15,2015,0
2/24/15,2015,0
2/25/15,2015,4.1
2/26/15,2015,9.4
2/27/15,2015,18.3
2/28/15,2015,0
3/1/15,2015,0
3/2/15,2015,0
3/3/15,2015,0
3/4/15,2015,0
3/5/15,2015,0
3/6/15,2015,0
3/7/15,2015,0
3/8/15,2015,0
3/9/15,2015,0
3/10/15,2015,0.8
3/11/15,2015,2.5
3/12/15,2015,0
3/13/15,2015,2
3/14/15,2015,17
3/15/15,2015,55.9
3/16/15,2015,1
3/17/15,2015,0.8
3/18/15,2015,0
3/19/15,2015,0
3/20/15,2015,4.1
3/21/15,2015,3.8
3/22/15,2015,1
3/23/15,2015,8.1
3/24/15,2015,7.6
3/25/15,2015,5.1
3/26/15,2015,0
3/27/15,2015,1
3/28/15,2015,0
3/29/15,2015,0
3/30/15,2015,1.8
3/31/15,2015,1
4/1/15,2015,5.1
