Year,Attribute,Value
1908,Number of countries with 40-50% women in parliament,0
1908,Number of countries with 50%+ women in parliament,0
1909,Number of countries with no women in parliament,62
1909,Number of countries with 0-10% women in parliament,0
1909,Number of countries with 10-20% women in parliament,1
1909,Number of countries with 20-30% women in parliament,0
1909,Number of countries with 30-40% women in parliament,0
1909,Number of countries with 40-50% women in parliament,0
1909,Number of countries with 50%+ women in parliament,0
1910,Number of countries with no women in parliament,61
1910,Number of countries with 0-10% women in parliament,1
1910,Number of countries with 10-20% women in parliament,0
1910,Number of countries with 20-30% women in parliament,0
1910,Number of countries with 30-40% women in parliament,0
1910,Number of countries with 40-50% women in parliament,0
1910,Number of countries with 50%+ women in parliament,0
1911,Number of countries with no women in parliament,61
1911,Number of countries with 0-10% women in parliament,1
1911,Number of countries with 10-20% women in parliament,0
1911,Number of countries with 20-30% women in parliament,0
1911,Number of countries with 30-40% women in parliament,0
1911,Number of countries with 40-50% women in parliament,0
1911,Number of countries with 50%+ women in parliament,0
1912,Number of countries with no women in parliament,62
1912,Number of countries with 0-10% women in parliament,1
1912,Number of countries with 10-20% women in parliament,0
1912,Number of countries with 20-30% women in parliament,0
1912,Number of countries with 30-40% women in parliament,0
1912,Number of countries with 40-50% women in parliament,0
1912,Number of countries with 50%+ women in parliament,0
1913,Number of countries with no women in parliament,61
1913,Number of countries with 0-10% women in parliament,0
1913,Number of countries with 10-20% women in parliament,1
1913,Number of countries with 20-30% women in parliament,0
1913,Number of countries with 30-40% women in parliament,0
1913,Number of countries with 40-50% women in parliament,0
1913,Number of countries with 50%+ women in parliament,0
1914,Number of countries with no women in parliament,60
1914,Number of countries with 0-10% women in parliament,0
1914,Number of countries with 10-20% women in parliament,1
1914,Number of countries with 20-30% women in parliament,0
1914,Number of countries with 30-40% women in parliament,0
1914,Number of countries with 40-50% women in parliament,0
1914,Number of countries with 50%+ women in parliament,0
1915,Number of countries with no women in parliament,60
1915,Number of countries with 0-10% women in parliament,0
1915,Number of countries with 10-20% women in parliament,1
1915,Number of countries with 20-30% women in parliament,0
1915,Number of countries with 30-40% women in parliament,0
1915,Number of countries with 40-50% women in parliament,0
1915,Number of countries with 50%+ women in parliament,0
1916,Number of countries with no women in parliament,59
1916,Number of countries with 0-10% women in parliament,0
1916,Number of countries with 10-20% women in parliament,1
1916,Number of countries with 20-30% women in parliament,0
1916,Number of countries with 30-40% women in parliament,0
1916,Number of countries with 40-50% women in parliament,0
1916,Number of countries with 50%+ women in parliament,0
1917,Number of countries with no women in parliament,57
1917,Number of countries with 0-10% women in parliament,1
1917,Number of countries with 10-20% women in parliament,0
1917,Number of countries with 20-30% women in parliament,0
1917,Number of countries with 30-40% women in parliament,0
1917,Number of countries with 40-50% women in parliament,0
1917,Number of countries with 50%+ women in parliament,0
1918,Number of countries with no women in parliament,58
1918,Number of countries with 0-10% women in parliament,3
1918,Number of countries with 10-20% women in parliament,0
1918,Number of countries with 20-30% women in parliament,0
1918,Number of countries with 30-40% women in parliament,0
1918,Number of countries with 40-50% women in parliament,0
1918,Number of countries with 50%+ women in parliament,0
1919,Number of countries with no women in parliament,61
1919,Number of countries with 0-10% women in parliament,4
1919,Number of countries with 10-20% women in parliament,0
1919,Number of countries with 20-30% women in parliament,0
1919,Number of countries with 30-40% women in parliament,0
1919,Number of countries with 40-50% women in parliament,0
1919,Number of countries with 50%+ women in parliament,0
1920,Number of countries with no women in parliament,60
1920,Number of countries with 0-10% women in parliament,4
1920,Number of countries with 10-20% women in parliament,0
1920,Number of countries with 20-30% women in parliament,0
1920,Number of countries with 30-40% women in parliament,0
1920,Number of countries with 40-50% women in parliament,0
1920,Number of countries with 50%+ women in parliament,0
1921,Number of countries with no women in parliament,59
1921,Number of countries with 0-10% women in parliament,9
1921,Number of countries with 10-20% women in parliament,0
1921,Number of countries with 20-30% women in parliament,0
1921,Number of countries with 30-40% women in parliament,0
1921,Number of countries with 40-50% women in parliament,0
1921,Number of countries with 50%+ women in parliament,0
1922,Number of countries with no women in parliament,62
1922,Number of countries with 0-10% women in parliament,9
1922,Number of countries with 10-20% women in parliament,0
1922,Number of countries with 20-30% women in parliament,0
1922,Number of countries with 30-40% women in parliament,0
1922,Number of countries with 40-50% women in parliament,0
1922,Number of countries with 50%+ women in parliament,0
1923,Number of countries with no women in parliament,61
1923,Number of countries with 0-10% women in parliament,9
1923,Number of countries with 10-20% women in parliament,0
1923,Number of countries with 20-30% women in parliament,0
1923,Number of countries with 30-40% women in parliament,0
1923,Number of countries with 40-50% women in parliament,0
1923,Number of countries with 50%+ women in parliament,0
1924,Number of countries with no women in parliament,62
1924,Number of countries with 0-10% women in parliament,8
1924,Number of countries with 10-20% women in parliament,0
1924,Number of countries with 20-30% women in parliament,0
1924,Number of countries with 30-40% women in parliament,0
1924,Number of countries with 40-50% women in parliament,0
1924,Number of countries with 50%+ women in parliament,0
1925,Number of countries with no women in parliament,66
1925,Number of countries with 0-10% women in parliament,8
1925,Number of countries with 10-20% women in parliament,0
1925,Number of countries with 20-30% women in parliament,0
1925,Number of countries with 30-40% women in parliament,0
1925,Number of countries with 40-50% women in parliament,0
1925,Number of countries with 50%+ women in parliament,0
1926,Number of countries with no women in parliament,65
1926,Number of countries with 0-10% women in parliament,8
1926,Number of countries with 10-20% women in parliament,0
1926,Number of countries with 20-30% women in parliament,0
1926,Number of countries with 30-40% women in parliament,0
1926,Number of countries with 40-50% women in parliament,0
1926,Number of countries with 50%+ women in parliament,0
1927,Number of countries with no women in parliament,65
1927,Number of countries with 0-10% women in parliament,9
1927,Number of countries with 10-20% women in parliament,0
1927,Number of countries with 20-30% women in parliament,0
1927,Number of countries with 30-40% women in parliament,0
1927,Number of countries with 40-50% women in parliament,0
1927,Number of countries with 50%+ women in parliament,0
1928,Number of countries with no women in parliament,66
1928,Number of countries with 0-10% women in parliament,9
1928,Number of countries with 10-20% women in parliament,0
1928,Number of countries with 20-30% women in parliament,0
1928,Number of countries with 30-40% women in parliament,0
1928,Number of countries with 40-50% women in parliament,0
1928,Number of countries with 50%+ women in parliament,0
1929,Number of countries with no women in parliament,67
1929,Number of countries with 0-10% women in parliament,8
1929,Number of countries with 10-20% women in parliament,0
1929,Number of countries with 20-30% women in parliament,0
1929,Number of countries with 30-40% women in parliament,0
1929,Number of countries with 40-50% women in parliament,0
1929,Number of countries with 50%+ women in parliament,0
1930,Number of countries with no women in parliament,65
1930,Number of countries with 0-10% women in parliament,8
1930,Number of countries with 10-20% women in parliament,0
1930,Number of countries with 20-30% women in parliament,0
1930,Number of countries with 30-40% women in parliament,0
1930,Number of countries with 40-50% women in parliament,0
1930,Number of countries with 50%+ women in parliament,0
1931,Number of countries with no women in parliament,64
1931,Number of countries with 0-10% women in parliament,10
1931,Number of countries with 10-20% women in parliament,0
1931,Number of countries with 20-30% women in parliament,0
1931,Number of countries with 30-40% women in parliament,0
1931,Number of countries with 40-50% women in parliament,0
1931,Number of countries with 50%+ women in parliament,0
1932,Number of countries with no women in parliament,71
1932,Number of countries with 0-10% women in parliament,10
1932,Number of countries with 10-20% women in parliament,0
1932,Number of countries with 20-30% women in parliament,0
1932,Number of countries with 30-40% women in parliament,0
1932,Number of countries with 40-50% women in parliament,0
1932,Number of countries with 50%+ women in parliament,0
1933,Number of countries with no women in parliament,65
1933,Number of countries with 0-10% women in parliament,11
1933,Number of countries with 10-20% women in parliament,0
1933,Number of countries with 20-30% women in parliament,0
1933,Number of countries with 30-40% women in parliament,0
1933,Number of countries with 40-50% women in parliament,0
1933,Number of countries with 50%+ women in parliament,0
1934,Number of countries with no women in parliament,63
1934,Number of countries with 0-10% women in parliament,11
1934,Number of countries with 10-20% women in parliament,0
1934,Number of countries with 20-30% women in parliament,0
1934,Number of countries with 30-40% women in parliament,0
1934,Number of countries with 40-50% women in parliament,0
1934,Number of countries with 50%+ women in parliament,0
1935,Number of countries with no women in parliament,61
1935,Number of countries with 0-10% women in parliament,12
1935,Number of countries with 10-20% women in parliament,0
1935,Number of countries with 20-30% women in parliament,0
1935,Number of countries with 30-40% women in parliament,0
1935,Number of countries with 40-50% women in parliament,0
1935,Number of countries with 50%+ women in parliament,0
1936,Number of countries with no women in parliament,59
1936,Number of countries with 0-10% women in parliament,13
1936,Number of countries with 10-20% women in parliament,0
1936,Number of countries with 20-30% women in parliament,0
1936,Number of countries with 30-40% women in parliament,0
1936,Number of countries with 40-50% women in parliament,0
1936,Number of countries with 50%+ women in parliament,0
1937,Number of countries with no women in parliament,58
1937,Number of countries with 0-10% women in parliament,13
1937,Number of countries with 10-20% women in parliament,0
1937,Number of countries with 20-30% women in parliament,0
1937,Number of countries with 30-40% women in parliament,0
1937,Number of countries with 40-50% women in parliament,0
1937,Number of countries with 50%+ women in parliament,0
1938,Number of countries with no women in parliament,62
1938,Number of countries with 0-10% women in parliament,13
1938,Number of countries with 10-20% women in parliament,0
1938,Number of countries with 20-30% women in parliament,0
1938,Number of countries with 30-40% women in parliament,0
1938,Number of countries with 40-50% women in parliament,0
1938,Number of countries with 50%+ women in parliament,0
1939,Number of countries with no women in parliament,57
1939,Number of countries with 0-10% women in parliament,13
1939,Number of countries with 10-20% women in parliament,0
1939,Number of countries with 20-30% women in parliament,0
1939,Number of countries with 30-40% women in parliament,0
1939,Number of countries with 40-50% women in parliament,0
1939,Number of countries with 50%+ women in parliament,0
1940,Number of countries with no women in parliament,55
1940,Number of countries with 0-10% women in parliament,11
1940,Number of countries with 10-20% women in parliament,0
1940,Number of countries with 20-30% women in parliament,0
1940,Number of countries with 30-40% women in parliament,0
1940,Number of countries with 40-50% women in parliament,0
1940,Number of countries with 50%+ women in parliament,0
1941,Number of countries with no women in parliament,55
1941,Number of countries with 0-10% women in parliament,10
1941,Number of countries with 10-20% women in parliament,0
1941,Number of countries with 20-30% women in parliament,0
1941,Number of countries with 30-40% women in parliament,0
1941,Number of countries with 40-50% women in parliament,0
1941,Number of countries with 50%+ women in parliament,0
1942,Number of countries with no women in parliament,52
1942,Number of countries with 0-10% women in parliament,11
1942,Number of countries with 10-20% women in parliament,0
1942,Number of countries with 20-30% women in parliament,0
1942,Number of countries with 30-40% women in parliament,0
1942,Number of countries with 40-50% women in parliament,0
1942,Number of countries with 50%+ women in parliament,0
1943,Number of countries with no women in parliament,49
1943,Number of countries with 0-10% women in parliament,11
1943,Number of countries with 10-20% women in parliament,0
1943,Number of countries with 20-30% women in parliament,0
1943,Number of countries with 30-40% women in parliament,0
1943,Number of countries with 40-50% women in parliament,0
1943,Number of countries with 50%+ women in parliament,0
1944,Number of countries with no women in parliament,51
1944,Number of countries with 0-10% women in parliament,12
1944,Number of countries with 10-20% women in parliament,0
1944,Number of countries with 20-30% women in parliament,0
1944,Number of countries with 30-40% women in parliament,0
1944,Number of countries with 40-50% women in parliament,0
1944,Number of countries with 50%+ women in parliament,0
1945,Number of countries with no women in parliament,47
1945,Number of countries with 0-10% women in parliament,21
1945,Number of countries with 10-20% women in parliament,0
1945,Number of countries with 20-30% women in parliament,0
1945,Number of countries with 30-40% women in parliament,0
1945,Number of countries with 40-50% women in parliament,0
1945,Number of countries with 50%+ women in parliament,0
1946,Number of countries with no women in parliament,52
1946,Number of countries with 0-10% women in parliament,34
1946,Number of countries with 10-20% women in parliament,1
1946,Number of countries with 20-30% women in parliament,0
1946,Number of countries with 30-40% women in parliament,0
1946,Number of countries with 40-50% women in parliament,0
1946,Number of countries with 50%+ women in parliament,0
1947,Number of countries with no women in parliament,60
1947,Number of countries with 0-10% women in parliament,33
1947,Number of countries with 10-20% women in parliament,1
1947,Number of countries with 20-30% women in parliament,0
1947,Number of countries with 30-40% women in parliament,0
1947,Number of countries with 40-50% women in parliament,0
1947,Number of countries with 50%+ women in parliament,0
1948,Number of countries with no women in parliament,64
1948,Number of countries with 0-10% women in parliament,32
1948,Number of countries with 10-20% women in parliament,3
1948,Number of countries with 20-30% women in parliament,0
1948,Number of countries with 30-40% women in parliament,0
1948,Number of countries with 40-50% women in parliament,0
1948,Number of countries with 50%+ women in parliament,0
1949,Number of countries with no women in parliament,64
1949,Number of countries with 0-10% women in parliament,33
1949,Number of countries with 10-20% women in parliament,6
1949,Number of countries with 20-30% women in parliament,0
1949,Number of countries with 30-40% women in parliament,0
1949,Number of countries with 40-50% women in parliament,0
1949,Number of countries with 50%+ women in parliament,0
1950,Number of countries with no women in parliament,64
1950,Number of countries with 0-10% women in parliament,34
1950,Number of countries with 10-20% women in parliament,8
1950,Number of countries with 20-30% women in parliament,1
1950,Number of countries with 30-40% women in parliament,0
1950,Number of countries with 40-50% women in parliament,0
1950,Number of countries with 50%+ women in parliament,0
1951,Number of countries with no women in parliament,66
1951,Number of countries with 0-10% women in parliament,33
1951,Number of countries with 10-20% women in parliament,9
1951,Number of countries with 20-30% women in parliament,1
1951,Number of countries with 30-40% women in parliament,0
1951,Number of countries with 40-50% women in parliament,0
1951,Number of countries with 50%+ women in parliament,0
1952,Number of countries with no women in parliament,64
1952,Number of countries with 0-10% women in parliament,36
1952,Number of countries with 10-20% women in parliament,12
1952,Number of countries with 20-30% women in parliament,1
1952,Number of countries with 30-40% women in parliament,0
1952,Number of countries with 40-50% women in parliament,0
1952,Number of countries with 50%+ women in parliament,0
1953,Number of countries with no women in parliament,61
1953,Number of countries with 0-10% women in parliament,36
1953,Number of countries with 10-20% women in parliament,12
1953,Number of countries with 20-30% women in parliament,1
1953,Number of countries with 30-40% women in parliament,0
1953,Number of countries with 40-50% women in parliament,0
1953,Number of countries with 50%+ women in parliament,0
1954,Number of countries with no women in parliament,60
1954,Number of countries with 0-10% women in parliament,35
1954,Number of countries with 10-20% women in parliament,12
1954,Number of countries with 20-30% women in parliament,3
1954,Number of countries with 30-40% women in parliament,0
1954,Number of countries with 40-50% women in parliament,0
1954,Number of countries with 50%+ women in parliament,0
1955,Number of countries with no women in parliament,62
1955,Number of countries with 0-10% women in parliament,35
1955,Number of countries with 10-20% women in parliament,11
1955,Number of countries with 20-30% women in parliament,3
1955,Number of countries with 30-40% women in parliament,0
1955,Number of countries with 40-50% women in parliament,0
1955,Number of countries with 50%+ women in parliament,0
1956,Number of countries with no women in parliament,58
1956,Number of countries with 0-10% women in parliament,39
1956,Number of countries with 10-20% women in parliament,11
1956,Number of countries with 20-30% women in parliament,3
1956,Number of countries with 30-40% women in parliament,0
1956,Number of countries with 40-50% women in parliament,0
1956,Number of countries with 50%+ women in parliament,0
1957,Number of countries with no women in parliament,58
1957,Number of countries with 0-10% women in parliament,44
1957,Number of countries with 10-20% women in parliament,10
1957,Number of countries with 20-30% women in parliament,2
1957,Number of countries with 30-40% women in parliament,0
1957,Number of countries with 40-50% women in parliament,0
1957,Number of countries with 50%+ women in parliament,0
1958,Number of countries with no women in parliament,55
1958,Number of countries with 0-10% women in parliament,45
1958,Number of countries with 10-20% women in parliament,9
1958,Number of countries with 20-30% women in parliament,2
1958,Number of countries with 30-40% women in parliament,0
1958,Number of countries with 40-50% women in parliament,0
1958,Number of countries with 50%+ women in parliament,0
1959,Number of countries with no women in parliament,52
1959,Number of countries with 0-10% women in parliament,47
1959,Number of countries with 10-20% women in parliament,9
1959,Number of countries with 20-30% women in parliament,2
1959,Number of countries with 30-40% women in parliament,0
1959,Number of countries with 40-50% women in parliament,0
1959,Number of countries with 50%+ women in parliament,0
1960,Number of countries with no women in parliament,53
1960,Number of countries with 0-10% women in parliament,48
1960,Number of countries with 10-20% women in parliament,8
1960,Number of countries with 20-30% women in parliament,4
1960,Number of countries with 30-40% women in parliament,0
1960,Number of countries with 40-50% women in parliament,0
1960,Number of countries with 50%+ women in parliament,0
1961,Number of countries with no women in parliament,56
1961,Number of countries with 0-10% women in parliament,49
1961,Number of countries with 10-20% women in parliament,9
1961,Number of countries with 20-30% women in parliament,4
1961,Number of countries with 30-40% women in parliament,0
1961,Number of countries with 40-50% women in parliament,0
1961,Number of countries with 50%+ women in parliament,0
1962,Number of countries with no women in parliament,54
1962,Number of countries with 0-10% women in parliament,50
1962,Number of countries with 10-20% women in parliament,9
1962,Number of countries with 20-30% women in parliament,4
1962,Number of countries with 30-40% women in parliament,0
1962,Number of countries with 40-50% women in parliament,0
1962,Number of countries with 50%+ women in parliament,0
1963,Number of countries with no women in parliament,48
1963,Number of countries with 0-10% women in parliament,55
1963,Number of countries with 10-20% women in parliament,12
1963,Number of countries with 20-30% women in parliament,3
1963,Number of countries with 30-40% women in parliament,0
1963,Number of countries with 40-50% women in parliament,0
1963,Number of countries with 50%+ women in parliament,0
1964,Number of countries with no women in parliament,45
1964,Number of countries with 0-10% women in parliament,58
1964,Number of countries with 10-20% women in parliament,13
1964,Number of countries with 20-30% women in parliament,2
1964,Number of countries with 30-40% women in parliament,0
1964,Number of countries with 40-50% women in parliament,0
1964,Number of countries with 50%+ women in parliament,0
1965,Number of countries with no women in parliament,38
1965,Number of countries with 0-10% women in parliament,66
1965,Number of countries with 10-20% women in parliament,13
1965,Number of countries with 20-30% women in parliament,2
1965,Number of countries with 30-40% women in parliament,0
1965,Number of countries with 40-50% women in parliament,0
1965,Number of countries with 50%+ women in parliament,0
1966,Number of countries with no women in parliament,34
1966,Number of countries with 0-10% women in parliament,66
1966,Number of countries with 10-20% women in parliament,14
1966,Number of countries with 20-30% women in parliament,3
1966,Number of countries with 30-40% women in parliament,0
1966,Number of countries with 40-50% women in parliament,0
1966,Number of countries with 50%+ women in parliament,0
1967,Number of countries with no women in parliament,34
1967,Number of countries with 0-10% women in parliament,65
1967,Number of countries with 10-20% women in parliament,14
1967,Number of countries with 20-30% women in parliament,2
1967,Number of countries with 30-40% women in parliament,1
1967,Number of countries with 40-50% women in parliament,0
1967,Number of countries with 50%+ women in parliament,0
1968,Number of countries with no women in parliament,35
1968,Number of countries with 0-10% women in parliament,63
1968,Number of countries with 10-20% women in parliament,13
1968,Number of countries with 20-30% women in parliament,3
1968,Number of countries with 30-40% women in parliament,1
1968,Number of countries with 40-50% women in parliament,0
1968,Number of countries with 50%+ women in parliament,0
1969,Number of countries with no women in parliament,33
1969,Number of countries with 0-10% women in parliament,60
1969,Number of countries with 10-20% women in parliament,14
1969,Number of countries with 20-30% women in parliament,3
1969,Number of countries with 30-40% women in parliament,1
1969,Number of countries with 40-50% women in parliament,0
1969,Number of countries with 50%+ women in parliament,0
1970,Number of countries with no women in parliament,32
1970,Number of countries with 0-10% women in parliament,60
1970,Number of countries with 10-20% women in parliament,13
1970,Number of countries with 20-30% women in parliament,3
1970,Number of countries with 30-40% women in parliament,2
1970,Number of countries with 40-50% women in parliament,0
1970,Number of countries with 50%+ women in parliament,0
1971,Number of countries with no women in parliament,29
1971,Number of countries with 0-10% women in parliament,63
1971,Number of countries with 10-20% women in parliament,11
1971,Number of countries with 20-30% women in parliament,6
1971,Number of countries with 30-40% women in parliament,2
1971,Number of countries with 40-50% women in parliament,0
1971,Number of countries with 50%+ women in parliament,0
1972,Number of countries with no women in parliament,32
1972,Number of countries with 0-10% women in parliament,64
1972,Number of countries with 10-20% women in parliament,9
1972,Number of countries with 20-30% women in parliament,8
1972,Number of countries with 30-40% women in parliament,2
1972,Number of countries with 40-50% women in parliament,0
1972,Number of countries with 50%+ women in parliament,0
1973,Number of countries with no women in parliament,32
1973,Number of countries with 0-10% women in parliament,71
1973,Number of countries with 10-20% women in parliament,9
1973,Number of countries with 20-30% women in parliament,9
1973,Number of countries with 30-40% women in parliament,2
1973,Number of countries with 40-50% women in parliament,0
1973,Number of countries with 50%+ women in parliament,0
1974,Number of countries with no women in parliament,28
1974,Number of countries with 0-10% women in parliament,72
1974,Number of countries with 10-20% women in parliament,12
1974,Number of countries with 20-30% women in parliament,7
1974,Number of countries with 30-40% women in parliament,3
1974,Number of countries with 40-50% women in parliament,0
1974,Number of countries with 50%+ women in parliament,0
1975,Number of countries with no women in parliament,22
1975,Number of countries with 0-10% women in parliament,70
1975,Number of countries with 10-20% women in parliament,13
1975,Number of countries with 20-30% women in parliament,7
1975,Number of countries with 30-40% women in parliament,4
1975,Number of countries with 40-50% women in parliament,0
1975,Number of countries with 50%+ women in parliament,0
1976,Number of countries with no women in parliament,20
1976,Number of countries with 0-10% women in parliament,68
1976,Number of countries with 10-20% women in parliament,14
1976,Number of countries with 20-30% women in parliament,10
1976,Number of countries with 30-40% women in parliament,3
1976,Number of countries with 40-50% women in parliament,0
1976,Number of countries with 50%+ women in parliament,0
1977,Number of countries with no women in parliament,21
1977,Number of countries with 0-10% women in parliament,66
1977,Number of countries with 10-20% women in parliament,15
1977,Number of countries with 20-30% women in parliament,10
1977,Number of countries with 30-40% women in parliament,3
1977,Number of countries with 40-50% women in parliament,0
1977,Number of countries with 50%+ women in parliament,0
1978,Number of countries with no women in parliament,22
1978,Number of countries with 0-10% women in parliament,70
1978,Number of countries with 10-20% women in parliament,15
1978,Number of countries with 20-30% women in parliament,10
1978,Number of countries with 30-40% women in parliament,3
1978,Number of countries with 40-50% women in parliament,0
1978,Number of countries with 50%+ women in parliament,0
1979,Number of countries with no women in parliament,21
1979,Number of countries with 0-10% women in parliament,73
1979,Number of countries with 10-20% women in parliament,16
1979,Number of countries with 20-30% women in parliament,11
1979,Number of countries with 30-40% women in parliament,4
1979,Number of countries with 40-50% women in parliament,0
1979,Number of countries with 50%+ women in parliament,0
1980,Number of countries with no women in parliament,17
1980,Number of countries with 0-10% women in parliament,76
1980,Number of countries with 10-20% women in parliament,16
1980,Number of countries with 20-30% women in parliament,11
1980,Number of countries with 30-40% women in parliament,6
1980,Number of countries with 40-50% women in parliament,0
1980,Number of countries with 50%+ women in parliament,0
1981,Number of countries with no women in parliament,17
1981,Number of countries with 0-10% women in parliament,77
1981,Number of countries with 10-20% women in parliament,16
1981,Number of countries with 20-30% women in parliament,12
1981,Number of countries with 30-40% women in parliament,6
1981,Number of countries with 40-50% women in parliament,0
1981,Number of countries with 50%+ women in parliament,0
1982,Number of countries with no women in parliament,15
1982,Number of countries with 0-10% women in parliament,81
1982,Number of countries with 10-20% women in parliament,15
1982,Number of countries with 20-30% women in parliament,13
1982,Number of countries with 30-40% women in parliament,6
1982,Number of countries with 40-50% women in parliament,0
1982,Number of countries with 50%+ women in parliament,0
1983,Number of countries with no women in parliament,14
1983,Number of countries with 0-10% women in parliament,77
1983,Number of countries with 10-20% women in parliament,20
1983,Number of countries with 20-30% women in parliament,13
1983,Number of countries with 30-40% women in parliament,6
1983,Number of countries with 40-50% women in parliament,0
1983,Number of countries with 50%+ women in parliament,0
1984,Number of countries with no women in parliament,14
1984,Number of countries with 0-10% women in parliament,80
1984,Number of countries with 10-20% women in parliament,20
1984,Number of countries with 20-30% women in parliament,13
1984,Number of countries with 30-40% women in parliament,6
1984,Number of countries with 40-50% women in parliament,0
1984,Number of countries with 50%+ women in parliament,0
1985,Number of countries with no women in parliament,15
1985,Number of countries with 0-10% women in parliament,80
1985,Number of countries with 10-20% women in parliament,22
1985,Number of countries with 20-30% women in parliament,11
1985,Number of countries with 30-40% women in parliament,8
1985,Number of countries with 40-50% women in parliament,0
1985,Number of countries with 50%+ women in parliament,0
1986,Number of countries with no women in parliament,13
1986,Number of countries with 0-10% women in parliament,78
1986,Number of countries with 10-20% women in parliament,26
1986,Number of countries with 20-30% women in parliament,10
1986,Number of countries with 30-40% women in parliament,9
1986,Number of countries with 40-50% women in parliament,0
1986,Number of countries with 50%+ women in parliament,0
1987,Number of countries with no women in parliament,13
1987,Number of countries with 0-10% women in parliament,76
1987,Number of countries with 10-20% women in parliament,29
1987,Number of countries with 20-30% women in parliament,11
1987,Number of countries with 30-40% women in parliament,8
1987,Number of countries with 40-50% women in parliament,0
1987,Number of countries with 50%+ women in parliament,0
1988,Number of countries with no women in parliament,12
1988,Number of countries with 0-10% women in parliament,71
1988,Number of countries with 10-20% women in parliament,33
1988,Number of countries with 20-30% women in parliament,11
1988,Number of countries with 30-40% women in parliament,9
1988,Number of countries with 40-50% women in parliament,0
1988,Number of countries with 50%+ women in parliament,0
1989,Number of countries with no women in parliament,11
1989,Number of countries with 0-10% women in parliament,70
1989,Number of countries with 10-20% women in parliament,36
1989,Number of countries with 20-30% women in parliament,12
1989,Number of countries with 30-40% women in parliament,8
1989,Number of countries with 40-50% women in parliament,0
1989,Number of countries with 50%+ women in parliament,0
1990,Number of countries with no women in parliament,22
1990,Number of countries with 0-10% women in parliament,76
1990,Number of countries with 10-20% women in parliament,35
1990,Number of countries with 20-30% women in parliament,10
1990,Number of countries with 30-40% women in parliament,8
1990,Number of countries with 40-50% women in parliament,0
1990,Number of countries with 50%+ women in parliament,0
1991,Number of countries with no women in parliament,12
1991,Number of countries with 0-10% women in parliament,93
1991,Number of countries with 10-20% women in parliament,33
1991,Number of countries with 20-30% women in parliament,7
1991,Number of countries with 30-40% women in parliament,6
1991,Number of countries with 40-50% women in parliament,0
1991,Number of countries with 50%+ women in parliament,0
1992,Number of countries with no women in parliament,14
1992,Number of countries with 0-10% women in parliament,91
1992,Number of countries with 10-20% women in parliament,39
1992,Number of countries with 20-30% women in parliament,7
1992,Number of countries with 30-40% women in parliament,5
1992,Number of countries with 40-50% women in parliament,0
1992,Number of countries with 50%+ women in parliament,0
1993,Number of countries with no women in parliament,11
